Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
533629,TIJARIA,Tijaria Polypipes Ltd,02 Jan 2023,E.G.M. ,-,03 Jan 2023,09 Jan 2023,28 Dec 2022,03 Jan 2023,-
516110,FAMILYCARE,Family Care Hospitals Ltd,03 Jan 2023,Right Issue of Equity Shares ,03 Jan 2023,-,-,29 Dec 2022,03 Jan 2023,-
511218,SHRIRAMFIN,Shriram Finance Ltd,03 Jan 2023,Interim Dividend - Rs. - 15.0000,04 Jan 2023,-,-,28 Dec 2022,03 Jan 2023,-
542803,VEL,Vaxfab Enterprises Ltd,03 Jan 2023,Right Issue of Equity Shares ,03 Jan 2023,-,-,30 Dec 2022,03 Jan 2023,-
543239,GMPL,G M Polyplast Ltd,04 Jan 2023,Bonus issue 6:1,04 Jan 2023,-,-,29 Dec 2022,04 Jan 2023,-
543625,SECURCRED,SecUR Credentials Ltd,04 Jan 2023,Bonus issue 3:1,04 Jan 2023,-,-,29 Dec 2022,04 Jan 2023,-
540266,GLCL,Globe Commercials Ltd,06 Jan 2023,Bonus issue 1:1,07 Jan 2023,-,-,03 Jan 2023,06 Jan 2023,-
532705,JAGRAN,Jagran Prakashan Ltd,06 Jan 2023,Buy Back of Shares ,06 Jan 2023,-,-,02 Jan 2023,06 Jan 2023,-
539309,RAMASTEEL,Rama Steel Tubes Ltd,06 Jan 2023,Bonus issue 4:1,06 Jan 2023,-,-,02 Jan 2023,06 Jan 2023,-
500405,SPLPETRO,Supreme Petrochem Ltd,06 Jan 2023,Stock  Split From Rs.4/- to Rs.2/-,06 Jan 2023,-,-,02 Jan 2023,06 Jan 2023,-
531496,OMKAR,Omkar Overseas Ltd,09 Jan 2023,E.G.M. ,-,10 Jan 2023,16 Jan 2023,04 Jan 2023,10 Jan 2023,-
541735,VIVANTA,Vivanta Industries Ltd,09 Jan 2023,E.G.M. ,-,10 Jan 2023,17 Jan 2023,04 Jan 2023,10 Jan 2023,-
541601,RAJNISH,Rajnish Wellness Ltd,10 Jan 2023,Stock  Split From Rs.2/- to Rs.1/-,10 Jan 2023,-,-,04 Jan 2023,10 Jan 2023,-
543420,JETFREIGHT,Jet Freight Logistics Ltd,11 Jan 2023,Right Issue of Equity Shares ,11 Jan 2023,-,-,06 Jan 2023,11 Jan 2023,-
523483,PACIFICI,Pacific Industries Ltd,11 Jan 2023,Right Issue of Equity Shares ,11 Jan 2023,-,-,06 Jan 2023,11 Jan 2023,-
532553,WELENT,Welspun Enterprises Ltd,11 Jan 2023,Special Dividend - Rs. - 7.5000,11 Jan 2023,-,-,05 Jan 2023,11 Jan 2023,-
542543,ENERGYINF,Energy Infrastructure Trust,12 Jan 2023,Income Distribution (InvIT) ,14 Jan 2023,-,-,09 Jan 2023,12 Jan 2023,-
532894,INDOWIND,Indowind Energy Ltd,13 Jan 2023,Right Issue of Equity Shares ,13 Jan 2023,-,-,09 Jan 2023,13 Jan 2023,-
540366,RADIOCITY,Music Broadcast Ltd,13 Jan 2023,Scheme of Arrangement ,13 Jan 2023,-,-,09 Jan 2023,13 Jan 2023,-
532344,SOFTSOL,Softsol India Ltd,13 Jan 2023,Buy Back of Shares ,13 Jan 2023,-,-,09 Jan 2023,13 Jan 2023,-
516072,VISHNU,Vishnu Chemicals Ltd,13 Jan 2023,Stock  Split From Rs.10/- to Rs.2/-,13 Jan 2023,-,-,09 Jan 2023,13 Jan 2023,-
508867,NEWMKTADV,New Markets Advisory Ltd,16 Jan 2023,E.G.M. ,16 Jan 2023,-,-,10 Jan 2023,16 Jan 2023,-
532540,TCS,Tata Consultancy Services Ltd,16 Jan 2023,Special Dividend - Rs. - 67.0000,17 Jan 2023,-,-,10 Jan 2023,16 Jan 2023,-
532540,TCS,Tata Consultancy Services Ltd,16 Jan 2023,Interim Dividend - Rs. - 8.0000,17 Jan 2023,-,-,10 Jan 2023,16 Jan 2023,-
543210,AARTISURF,Aarti Surfactants Ltd,17 Jan 2023,Right Issue of Equity Shares ,17 Jan 2023,-,-,11 Jan 2023,17 Jan 2023,-
543364,MARKOLINES,Markolines Pavement Technologies Ltd,17 Jan 2023,Right Issue of Equity Shares ,17 Jan 2023,-,-,12 Jan 2023,17 Jan 2023,-
540269,SKL,Super Fine Knitters Ltd,17 Jan 2023,E.G.M. ,-,18 Jan 2023,24 Jan 2023,12 Jan 2023,18 Jan 2023,-
542323,KPIGREEN,KPI Green Energy Ltd,18 Jan 2023,Bonus issue 1:1,18 Jan 2023,-,-,12 Jan 2023,18 Jan 2023,-
532281,HCLTECH,HCL Technologies Ltd,19 Jan 2023,Interim Dividend - Rs. - 10.0000,20 Jan 2023,-,-,13 Jan 2023,19 Jan 2023,-
539559,DDIL,Deep Diamond India Ltd,20 Jan 2023,Stock  Split From Rs.10/- to Rs.1/-,20 Jan 2023,-,-,16 Jan 2023,20 Jan 2023,-
532467,HAZOOR,Hazoor Multi Projects Ltd-$,20 Jan 2023,Right Issue of Equity Shares ,20 Jan 2023,-,-,17 Jan 2023,20 Jan 2023,-
519552,HERITGFOOD,Heritage Foods Ltd,20 Jan 2023,Right Issue of Equity Shares ,20 Jan 2023,-,-,16 Jan 2023,20 Jan 2023,-
538928,KARNAVATI,Karnavati Finance Ltd,20 Jan 2023,E.G.M. ,-,23 Jan 2023,30 Jan 2023,17 Jan 2023,23 Jan 2023,-
543235,ANGELONE,Angel One Ltd,24 Jan 2023,Interim Dividend - Rs. - 9.6000,24 Jan 2023,-,-,18 Jan 2023,24 Jan 2023,-
543621,CARGOSOL,Cargosol Logistics Ltd,24 Jan 2023,E.G.M. ,-,26 Jan 2023,01 Feb 2023,19 Jan 2023,24 Jan 2023,-
531111,GOTHIPL,Gothi Plascon India Ltd,24 Jan 2023,Interim Dividend - Rs. - 2.0000,24 Jan 2023,-,-,18 Jan 2023,24 Jan 2023,-
523539,PRECWIRE,Precision Wires India Ltd,24 Jan 2023,E.G.M. ,24 Jan 2023,-,-,18 Jan 2023,24 Jan 2023,-
507685,WIPRO,Wipro Ltd,24 Jan 2023,Interim Dividend - Rs. - 1.0000,25 Jan 2023,-,-,18 Jan 2023,24 Jan 2023,-
517354,HAVELLS,Havells India Ltd,25 Jan 2023,Interim Dividend - Rs. - 3.0000,28 Jan 2023,-,-,20 Jan 2023,25 Jan 2023,-
532234,NATIONALUM,National Aluminium Company Ltd,25 Jan 2023,Interim Dividend - Rs. - 1.0000,27 Jan 2023,-,-,19 Jan 2023,25 Jan 2023,-
533179,PERSISTENT,Persistent Systems Ltd,25 Jan 2023,Interim Dividend - Rs. - 28.0000,27 Jan 2023,-,-,19 Jan 2023,25 Jan 2023,-
